epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,612.284,1.4123,2.11504,1.23879,0.20041,0.21053,0.08701,0.04488,0.9929,15.2034,0.81884,0.000659864,0.000659864,0.000659864
2,1056.38,1.27278,1.38927,1.16311,0.27888,0.29853,0.12112,0.07581,0.92144,19.2743,0.87605,0.00130027,0.00130027,0.00130027
3,1478.79,1.25525,1.34236,1.14667,0.31528,0.31102,0.15049,0.08374,0.92987,12.7368,0.80367,0.00191427,0.00191427,0.00191427
4,1887.53,1.23017,1.30439,1.13461,0.26245,0.30702,0.13266,0.07174,0.86092,28.4883,0.79609,0.0018812,0.0018812,0.0018812
5,2268.79,1.21847,1.27464,1.14057,0.3339,0.38596,0.1928,0.1173,0.83893,35.2315,0.77551,0.0018416,0.0018416,0.0018416
6,2632.87,1.21053,1.22126,1.13851,0.23761,0.35965,0.12701,0.07565,0.87142,64.717,0.81836,0.001802,0.001802,0.001802
7,2997.15,1.18629,1.14452,1.11636,0.36449,0.39474,0.18406,0.11946,0.79766,50.7029,0.74781,0.0017624,0.0017624,0.0017624
8,3310.96,1.12597,1.10798,1.09387,0.43272,0.40351,0.2666,0.18539,0.77884,31.4743,0.73444,0.0017228,0.0017228,0.0017228
9,3617.87,1.09552,1.06071,1.0654,0.33192,0.25439,0.12944,0.087,0.81341,37.8142,0.7535,0.0016832,0.0016832,0.0016832
10,3903.53,1.08624,1.03608,1.05617,0.31384,0.35965,0.1531,0.09767,0.79847,63.8067,0.7733,0.0016436,0.0016436,0.0016436
11,4223.12,1.07016,0.98893,1.05778,0.33712,0.30338,0.16368,0.11286,0.77963,24.6317,0.73644,0.001604,0.001604,0.001604
12,4527.69,1.04028,0.97037,1.04698,0.2183,0.24561,0.0953,0.06061,0.74534,30.384,0.72036,0.0015644,0.0015644,0.0015644
